álbum,música,letra,duração,exibições,indicações,prêmios
Queen II,Nevermore,"There's no living in my life anymore The seas have gone dry and the rain stopped falling Please, don't you cry anymore Can't you see? Listen to the breeze, whisper to me, please Don't send me to the path of nevermore Even the valleys below Where the rays of the sun were so warn and tender Now haven't anything to grow Can't you see Why did you have to leave me? (Nevermore) Why did you deceive me? (Nevermore) You send me to the path of nevermore When you say you didn't love me anymore Nevermore Nevermore ",78,19626,0,0
Queen II,The March Of The Black Queen,"Do you mean it? Do you mean it? Do you mean it? Why don't you mean it? Why do I follow you? And where do you go? You've never seen nothing like it no never in your life Like going up to heaven and then coming back alive Let me tell you all about it And the world will so allow it Oh, give me a little time to choose Water babies singing in a lily-pool delight Blue powder monkies praying in the dead of night Here comes the Black Queen, poking in the pile Fie-fo the Black Queen, marching single file Take this, take that, bring them down to size (March to the Black Queen) Put them in the cellar with the naughty boys A little nigger sugar then a rub-a dub-a baby oil Black on, black on Every finger nail and toe, we've only begun, begun Make this, make that, keep making all that noise (March to the Black Queen) Now I've got a belly-full You can be my sugar-baby, you can be my honey Chile, yes A voice from behind me reminds me Spread out your wings you are an angel Remember to deliver with the speed of light A little bit of love and joy Everything you do bears a will and a why and a wherefore A little bit of love and joy In each and every soul lies a man And very soon he'll deceive and discover But even till the end of his life, he'll bring a little love I reign with my left hand, I rule with my right I'm lord of all darkness, I'm queen of the night I've got the power Now do the march of the Black Queen My life is in your hands, I'll fo and I'll fie I'll be what you make me, I'll do what you like I'll be a bad boy, I'll be your bad boy I'll do the march of the Black Queen Walking true to style She's vulgar 'buse and vile Fie-fo the Black Queen tattoos all her pies She boils and she bakes and she never dots her i's Forget your singalongs and your lullabies Surrender to the city of the fireflies Dance with the devil in beat with the band To hell with all of you hand-in-hand But now it's time to be gone La la la la forever, forever ",392,20095,0,0
Queen II,Funny How Love Is,"Funny how love is everywhere just look and see Funny how love is anywhere you're bound to be Funny how love is every song in every key Funny how love is coming home in time for tea Funny, funny, funny Funny how love is the end of lies when the truth begins Tomorrow comes tomorrow beings Tomorrow brings love in the shape of things That's what love is, that's what love is Funny how love is can break your heart so suddenly Funny how love came tumbling down with adam and eve Funny how love is running wild and feeling free Funny how live is coming home in time for tea Funny, funny, funny From the earth below to the heavens above That's how far and funny is love At any time, anywhere If you gotta make love do it everywhere That's what love is, that's what love is Funny how love is everywhere just look and see Funny how love is anywhere you're bound to be Funny how love is every song and every key Funny how love is when you gotta hurry home 'Cos you're late for tea Funny, funny, funny how love is Tomorrow comes, tomorrow brings Tomorrow brings love in the shape of things At any time, anywhere If you gotta make love do it everywhere That's what love is, that's what love is ",170,10095,0,0
Queen II,Seven Seas Of Rhye,"Fear me, you lord and lady preachers I descend upon your earth from the skies I command your very souls, you unbelievers Bring before me what is mine! The seven seas of rhye Can you hear me, you peers and privy councillors? I stand before you naked to the eyes I will destroy any man who dares abuse my trust I swear that you'll be mine! The seven seas of rhye (Sister) I live and lie for you (Mister) do and I'll die You are mine! I possess you! Belong to you Forever! Ever, ever! Storm the master marathon I'll fly through By flash and thunder fire, I'll survive (I'll survive, I'll survive) Then I'll defy the laws of nature And come out alive! Begone with you, you shod and shady senators Give out the good, leave out the bad evil cries I challenge the mighty titan and many troubadours And with a smile I'll take you to the seven seas of rhye I do like to be beside the seaside I do like to be beside the sea ",168,44076,0,0
A Night At The Opera  ,Death On Two Legs,"You suck my blood like a leech You break the law and you breach Screw my brain till it hurts You've taken all my money and you want more Misguided old mule With your pig headed rules With your narrow minded cronies Who are fools of the first division Death on two legs You're tearing me apart Death on two legs You've never had a heart of your own Kill joy Bad guy Big talking Small fry You're just an old barrow boy Have you found a new toy To replace me? Can you face me? But now you can kiss My ass goodbye Feel good Are you satisfied? Do you feel like Suicide? (I think you should) Is your conscience all right Does it plague you at night? Do you feel good? Feel good? Talk like a big business tycoon You're just a hot air balloon So no one gives you a damn You're just an overgrown schoolboy, let me tan your hide A dog with disease You're the king of the sleaze Put your money where your mouth is Mr. Know-All, was the fin on your back part of the deal? Shark Death on two legs You're tearing me apart Death on two legs You've never had a heart (you never did) of your own (right from the start) Insane Should be put inside You're a sewer rat Decaying in a cesspool of pride Should be made unemployed Make yourself null and void Make me feel good I feel good ",223,53661,0,0
A Night At The Opera  ,Lazing On a Sunday Afternoon,"I go out to work on Monday morning Tuesday I go off to honeymoon I'll be back again before it's time for sunnydown I'll be lazing on a Sunday afternoon Bicycling on every Wednesday evening Thursday I go waltzing to the zoo I come from London town, I'm just an ordinary guy Fridays I go painting in the Louvre I'm bound to be proposing on a Saturday night There he goes again I'll be lazing on a Sunday, lazing on a Sunday Lazing on a Sunday afternoon ",67,18599,0,0
A Night At The Opera  ,I'm In Love With My Car,"The machine of a dream Such a clean machine With the pistons a pumping And the hubcaps all gleam When I'm holding your wheel All I hear is your gear When my hand's on your grease gun Oh, it's like a disease, son I'm in love with my car Got a feel for my automobile Get a grip on my boy racer roll bar Such a thrill when your radials squeal Told my girl I'll have to forget her Rather buy me a new carburetor So she made tracks saying this is the end now Cars don't talk back, they're just four-wheeled friends now When I'm holdin your wheel All I hear is your gear When I'm cruising in overdrive Don't have to listen to no run-of-the-mill talk jive I'm in love with my car Got a feel for my automobile I'm in love with my car String back gloves in my automolove ",123,51496,0,0
A Night At The Opera  ,You're My Best Friend,"Ooh, you make me live Whatever this world can give to me It's you, you're all I see Ooh, you make me live now, honey Ooh, you make me live Ooh, you're the best friend that I ever had I've been with you such a long time You're my sunshine and I want you to know That my feelings are true I really love you Oh, you're my best friend Ooh, you make me live Ooh, I've been wandering round But I still come back to you (still come back to you) In rain or shine You've stood by me, girl I'm happy at home You're my best friend Ooh, you make me live Whenever this world is cruel to me I got you to help me forgive Ooh, you make me live now, honey Ooh, you make me live You're the first one When things turn out bad You know, I'll never be lonely You're my only one And I love the things I really love the things that you do Oh, you're my best friend Ooh, you make me live (I'm happy, I'm happy at home) You're my best friend Oh, you're my best friend Ooh, you make me live Ooh, you're my best friend ",179,290424,0,0
A Night At The Opera  ,'39,"In the year of '39, assembled here the volunteers In the days when lands were few Here the ship sailed out into the blue and sunny morn The sweetest sight ever seen And the night followed day, and the storytellers say That the score brave souls inside For many a lonely day Sailed across the milky seas Ne'er looked back, never feared, never cried Don't you hear my call? Though you're many years away Don't you hear me calling you? Write your letters in the sand For the day I take your hand In the land that our grandchildren knew In the year of '39, came a ship from the blue The volunteers came home that day And they bring good news of a world so newly born Though their hearts so heavily weigh For the earth is old and grey Little darlin', we'll away But, my love, this cannot be Oh, so many years have gone Though I'm older but a year Your mothers eyes, from your eyes, cry to me Don't you hear my call? Though you're many years away Don't you hear me calling you Write your letters in the sand For the day I'll take your hand In the land that our grandchildren knew Don't you hear my call? Though you're many years away Don't you hear me calling you? All your letters in the sand Cannot heal me like your hand For my life, still ahead, pity me ",233,114513,0,0
A Night At The Opera  ,Sweet Lady,"You call me up and treat me like a dog You call me up and tear me up inside You've got me on a lead You bring me down You shout around You don't believe that I'm alone Sweet lady Sweet lady Sweet lady, stay sweet You say You call me up and feed me all the lines You call me sweet like I'm some kind of cheese Waiting on the shelf You eat me up You hold me down I'm just a fool to make you a home And you say Sweet lady Sweet lady Sweet lady, stay sweet My sweet lady Though it seems like we wait forever Stay sweet baby Believe and we've got everything we need ",243,14821,0,0
